epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5145.93,1.5641,1.19504,1.51642,0.85329,0.82258,0.88687,0.52651,1.40948,0.92273,1.50848,0.000848969,0.000848969,0.000848969
43,5259.84,1.56334,1.17708,1.50861,0.84305,0.83982,0.89404,0.5364,1.37833,0.90248,1.47738,0.000834822,0.000834822,0.000834822
44,5372.04,1.55178,1.17545,1.50211,0.86414,0.83918,0.90435,0.54076,1.3897,0.88618,1.48691,0.000820675,0.000820675,0.000820675
45,5482.44,1.54706,1.16151,1.51111,0.87007,0.83901,0.89941,0.53905,1.39041,0.8995,1.5012,0.000806528,0.000806528,0.000806528
46,5598.28,1.53064,1.13066,1.48806,0.87871,0.83664,0.905,0.54412,1.37657,0.87322,1.47396,0.00079238,0.00079238,0.00079238
47,5711.99,1.52571,1.1305,1.48477,0.88174,0.84247,0.91065,0.56106,1.33663,0.86172,1.45451,0.000778233,0.000778233,0.000778233
48,5825.95,1.51395,1.12563,1.47342,0.86767,0.84325,0.90206,0.5551,1.33987,0.86072,1.45137,0.000764086,0.000764086,0.000764086
49,5944.39,1.5142,1.11991,1.46896,0.87223,0.86581,0.91208,0.56174,1.32945,0.8375,1.42914,0.000749939,0.000749939,0.000749939
50,6058.37,1.49484,1.09661,1.45741,0.89506,0.84785,0.9118,0.5728,1.32148,0.83585,1.4228,0.000735792,0.000735792,0.000735792
51,6176.13,1.48354,1.07985,1.45878,0.88889,0.85665,0.92214,0.58246,1.29972,0.81853,1.42282,0.000721645,0.000721645,0.000721645
52,6294.68,1.48742,1.07253,1.45558,0.87968,0.8602,0.917,0.57478,1.31421,0.80899,1.41817,0.000707498,0.000707498,0.000707498
53,6410.01,1.46549,1.05944,1.43532,0.88306,0.87188,0.92076,0.58987,1.2773,0.78777,1.39849,0.000693351,0.000693351,0.000693351
54,6527.22,1.47962,1.07218,1.44501,0.88811,0.86453,0.92187,0.58861,1.28104,0.79699,1.40427,0.000679204,0.000679204,0.000679204
55,6641.16,1.46417,1.05521,1.44073,0.89449,0.86151,0.92418,0.59303,1.27323,0.79547,1.40012,0.000665057,0.000665057,0.000665057
56,6755.42,1.44671,1.04001,1.42397,0.90994,0.86798,0.931,0.59903,1.26637,0.77778,1.38512,0.000650909,0.000650909,0.000650909
57,6870.7,1.43939,1.0243,1.41871,0.90805,0.87469,0.9316,0.60496,1.25809,0.7622,1.38039,0.000636762,0.000636762,0.000636762
58,6984.48,1.43841,1.0144,1.41865,0.90432,0.86016,0.92808,0.60304,1.25057,0.75803,1.37873,0.000622615,0.000622615,0.000622615
59,7100.48,1.43456,1.0182,1.41318,0.90366,0.85979,0.92889,0.61039,1.2258,0.76134,1.3543,0.000608468,0.000608468,0.000608468
60,7214.58,1.39887,0.99369,1.39465,0.90461,0.87517,0.92923,0.61876,1.20291,0.73408,1.33403,0.000594321,0.000594321,0.000594321
61,7331.96,1.39961,0.98376,1.38202,0.90687,0.87866,0.93345,0.61885,1.21235,0.73154,1.33819,0.000580174,0.000580174,0.000580174
62,7444.96,1.39753,0.98088,1.40052,0.89174,0.88385,0.93377,0.62139,1.20106,0.72799,1.33879,0.000566027,0.000566027,0.000566027
63,7559.89,1.37792,0.96602,1.37594,0.91052,0.88465,0.93714,0.6278,1.19111,0.70696,1.3159,0.00055188,0.00055188,0.00055188
64,7675.25,1.38815,0.96875,1.37999,0.90749,0.88347,0.93548,0.63008,1.17841,0.7182,1.31383,0.000537733,0.000537733,0.000537733
65,7790.37,1.37327,0.96028,1.37293,0.92256,0.88318,0.94243,0.63797,1.15877,0.69864,1.30264,0.000523586,0.000523586,0.000523586
66,7910,1.36386,0.95137,1.37138,0.90926,0.89266,0.94104,0.63762,1.16129,0.69364,1.30038,0.000509438,0.000509438,0.000509438
67,8025.07,1.35702,0.93928,1.35944,0.91106,0.88287,0.94076,0.64102,1.15496,0.69892,1.29338,0.000495291,0.000495291,0.000495291
68,8144.57,1.34803,0.93499,1.3562,0.91047,0.8828,0.94221,0.63944,1.15801,0.68908,1.29343,0.000481144,0.000481144,0.000481144
69,8261.08,1.33167,0.92881,1.34856,0.92139,0.88618,0.94112,0.64587,1.14238,0.68218,1.28334,0.000466997,0.000466997,0.000466997
70,8375.88,1.34663,0.92163,1.34914,0.9191,0.8914,0.94393,0.6505,1.13829,0.67031,1.27884,0.00045285,0.00045285,0.00045285
71,8489.48,1.33864,0.91172,1.34125,0.9268,0.88773,0.94168,0.65104,1.12954,0.66669,1.26825,0.000438703,0.000438703,0.000438703
72,8605.44,1.32306,0.90899,1.33595,0.91687,0.89129,0.94164,0.65222,1.11989,0.67204,1.26356,0.000424556,0.000424556,0.000424556
73,8725.21,1.31241,0.89405,1.32655,0.92505,0.89024,0.9437,0.65782,1.11637,0.66205,1.26272,0.000410409,0.000410409,0.000410409
74,8836.29,1.29978,0.8823,1.31657,0.92162,0.8794,0.94461,0.661,1.10153,0.66221,1.25079,0.000396262,0.000396262,0.000396262
75,8947.98,1.29769,0.88635,1.31666,0.92158,0.89131,0.94636,0.66459,1.09577,0.64896,1.24698,0.000382115,0.000382115,0.000382115
76,9064.87,1.28685,0.86762,1.30851,0.92551,0.89367,0.94742,0.66785,1.08719,0.63984,1.24426,0.000367967,0.000367967,0.000367967
77,9182.37,1.29281,0.87121,1.30781,0.92715,0.89387,0.94798,0.66523,1.08183,0.63434,1.23816,0.00035382,0.00035382,0.00035382
78,9325.87,1.28097,0.86986,1.30488,0.92561,0.89609,0.94865,0.66906,1.07404,0.62756,1.23432,0.000339673,0.000339673,0.000339673
79,9438.67,1.26384,0.86371,1.29894,0.93087,0.89695,0.95017,0.67419,1.05905,0.62109,1.21673,0.000325526,0.000325526,0.000325526
80,9570.32,1.25585,0.85429,1.29685,0.92537,0.90143,0.95098,0.67702,1.05866,0.62613,1.21898,0.000311379,0.000311379,0.000311379
81,9711.89,1.24186,0.84394,1.28757,0.93147,0.90525,0.95181,0.68202,1.04917,0.61126,1.20455,0.000297232,0.000297232,0.000297232
82,9861.21,1.24957,0.84101,1.29064,0.93483,0.9001,0.95194,0.67576,1.05357,0.60877,1.20669,0.000283085,0.000283085,0.000283085
83,10029.5,1.23611,0.83116,1.28648,0.93466,0.89743,0.95179,0.67965,1.04431,0.60889,1.20571,0.000268938,0.000268938,0.000268938
84,10161.3,1.23359,0.82039,1.27962,0.93611,0.89571,0.9523,0.68357,1.03503,0.60534,1.19986,0.000254791,0.000254791,0.000254791
85,10317.5,1.23715,0.82191,1.27873,0.93778,0.89532,0.95211,0.68692,1.03371,0.59298,1.19338,0.000240644,0.000240644,0.000240644
